post_date,post_type,caption,likes,comments,hashtags,video_views,shortcode,engagement_total,engagement_rate,post_topic,follower_count,ig_username,day_of_week,month_year,hour_of_day
2026-06-02,Carousel,"🚀 [OPEN REGISTRATION] Kickstart Your Career Journey with Us!

We’re officially extending our paid internship & volunteer opportunities at BelajarLinkedin.id — and yes, this might be the sign you’ve been waiting for!

✨ Whether you're a student or fresh graduate, this is your chance to:
🔹 Gain real experience across 6 dynamic departments
🔹 Receive monthly allowance & performance bonuses (for interns)
🔹 Join expert-led LinkedIn sessions & get skill endorsements
🔹 Enjoy GoFood bonding, mental health support, and remote work flexibility
🔹 Unlock the potential to go full-time after the program!

💼 Open roles in Marketing, HR, IT, Finance, and more

🎯 Be part of a community that values growth, collaboration, and impact

📌 CV Deadline: Juni 16, 2026
📝 Apply now & explore all positions here: linktr.ee/BelajarLinkedin",4047,1538,[],0,DZFV4gnAYhc,5585,81.4377,Tips Melamar Kerja,6858,belajarlinkedin,Tuesday,2026-06,0
2025-11-08,Carousel,"🌱 Di balik performa hebat, ada mental yang kuat.
Mindcare Session di @belajarlinkedin hadir sebagai ruang aman buat setiap employee — tempat berbagi cerita, tantangan, dan harapan tanpa takut dihakimi.

Lewat sesi ini, setiap rekan kerja bisa:
✨ Mengenali stres & kendala kerja
✨ Dapat insight buat ningkatin performa
✨ Bangun budaya saling peduli di tempat kerja

Karena kami percaya, kerja produktif dimulai dari kepala dan hati yang sehat. 💚

💬 Udah pernah ikut Mindcare Session? Ceritain pengalaman kamu di kolom komentar, yuk — biar makin banyak yang sadar pentingnya ruang ngobrol di tempat kerja!

#MindcareSession #BelajarLinkedIn #EmployeeBranding #WorkplaceWellbeing #MentalHealthAtWork #EmployeeEngagement",2408,1,"['mindcaresession', 'belajarlinkedin', 'employeebranding', 'workplacewellbeing', 'mentalhealthatwork', 'employeeengagement']",0,DQy_dKLEu_z,2409,35.1269,Personal Branding,6858,belajarlinkedin,Saturday,2025-11,0
2025-11-01,Carousel,"Budaya kerja modern sering memuja lelah dan menganggap istirahat sebagai kemalasan. Padahal, rest adalah bagian penting dari productivity mindset.
Tanpa istirahat, fokus menurun, kreativitas tumpul, dan kinerja jangka panjang ikut turun.

Istirahat bukan tanda malas, tapi tanda kamu paham cara kerja yang berkelanjutan.
Ingat, tubuhmu bukan mesin dan burnout bukan pencapaian.

Mulailah ubah cara pandang: kerja keras perlu, tapi keseimbangan hidup jauh lebih penting.
Simpan postingan ini untuk pengingat bahwa menjaga kesehatan mental dan fisik adalah fondasi produktivitas sejati.

#WorkLifeBalance #ProductivityTips #MentalHealthAwareness #SelfCareMatters #BelajarLinkedIn",2341,0,"['worklifebalance', 'productivitytips', 'mentalhealthawareness', 'selfcarematters', 'belajarlinkedin']",0,DQg-NmvkvxR,2341,34.1353,Pengembangan Karir,6858,belajarlinkedin,Saturday,2025-11,0
2025-10-31,Carousel,"Nunggu siap? Itu perangkap otak.
Karena otakmu selalu bisa bikin alasan: ‘Nanti aja, belum waktunya.’

Padahal, tiap kali nunda,
 ➡ mimpi makin jauh,
 ➡ rasa percaya diri makin terkikis,
 ➡ dan waktu nggak pernah balik.

Mulai kecil itu jauh lebih kuat daripada nunggu besar tapi nggak pernah jalan.
 ➡ Save ini kalau kamu sering ngerasa ‘belum siap’, biar ingat siap itu hasil, bukan syarat.

#BelajarLinkedIn #EmotionalHit #MotivasiDiri #PersonalDevelopment",2254,0,"['belajarlinkedin', 'emotionalhit', 'motivasidiri', 'personaldevelopment']",0,DQeC_EuEoMH,2254,32.8667,Konten Lainnya,6858,belajarlinkedin,Friday,2025-10,0
2025-10-30,Carousel,"Punya career break bukan berarti kariermu rusak.
Banyak profesional berhenti sejenak bukan karena menyerah, tapi karena butuh reset untuk kembali lebih fokus dan kuat.

📊 Faktanya, 98,5% yang pernah jeda karier masih ingin kembali bekerja.
Tapi stigma masih sering muncul: dianggap ‘kurang produktif’ atau ‘ketinggalan’.

Padahal, jeda justru bisa jadi momen refleksi dan pembelajaran.
Yang penting bukan seberapa lama kamu berhenti, tapi bagaimana kamu kembali dengan arah dan nilai baru.

Kariermu bukan garis lurus, tapi perjalanan yang bisa kamu desain ulang.

Jeda bukan akhir, tapi strategic pause untuk langkah berikutnya.

💾 Simpan postingan ini kalau kamu sedang di fase ‘restart’.

#CareerBreak #RestartStronger #KarierProfesional #PersonalBranding #GrowthMindset #CareerDevelopment #BelajarLinkedIn",2182,0,"['careerbreak', 'restartstronger', 'karierprofesional', 'personalbranding', 'growthmindset', 'careerdevelopment', 'belajarlinkedin']",0,DQb6g2GEkch,2182,31.8169,Personal Branding,6858,belajarlinkedin,Thursday,2025-10,0
2025-10-26,Carousel,"Jangan iri sama orang yang punya 10.000 koneksi.
Yang penting bukan siapa yang banyak dikenal,
tapi siapa yang dikenal karena sesuatu yang bermakna.

LinkedIn itu bukan panggung popularitas,
tapi arena psikologis di mana value, konsistensi, dan kepercayaan diri diuji setiap hari.

Mulailah dari 10 koneksi yang relevan.
Bangun percakapan, bukan sekadar angka.

🔥 Mau belajar strategi bangun koneksi yang meaningful di LinkedIn?
Save postingan ini dan follow! 
Waktunya kamu tumbuh bukan cuma terlihat.

#BelajarLinkedIn #Connection #Popularity #HumanInsight",2139,0,"['belajarlinkedin', 'connection', 'popularity', 'humaninsight']",0,DQRekHikvjf,2139,31.1899,Networking LinkedIn,6858,belajarlinkedin,Sunday,2025-10,0
2025-10-24,Carousel,"Scroll LinkedIn sebentar aja, rasanya semua orang punya pencapaian besar.
Ada yang promosi, ada yang viral, ada yang dapet kerjaan impian.

Kamu? Masih ngerasa invisible, padahal udah rajin banget update.

Tenang, bukan berarti kamu gagal.
Kadang, kamu cuma belum tahu 3 hal kecil yang bikin kamu nggak kelihatan.

Yuk, swipe carousel ini👉
Biar kamu tahu kenapa LinkedIn kamu sepi,
dan gimana caranya mulai terlihat lagi 💬✨

#LinkedInTips #PersonalBranding #CareerGrowth #JobSeekers #BelajarLinkedIn #ProfessionalDevelopment #Networking",2080,0,"['linkedintips', 'personalbranding', 'careergrowth', 'jobseekers', 'belajarlinkedin', 'professionaldevelopment', 'networking']",0,DQMaJsektRD,2080,30.3295,Personal Branding,6858,belajarlinkedin,Friday,2025-10,0
2025-10-23,Carousel,"Katanya susah dapet view & DM di LinkedIn?

Coba dulu Tantangan 7 Hari ini! 😎
Gak perlu ribet, cukup 10 menit sehari 
Tapi hasilnya bisa bikin notifikasi kamu meledak! 💬📈
Siap ikut? Ketik “SIAP” di kolom komentar!

#Tantangan7Hari #LinkedInTips #NaikkanEngagement",2040,0,"['tantangan7hari', 'linkedintips', 'naikkanengagement']",0,DQJ6wJMEhT4,2040,29.7463,Tips dan Panduan Umum,6858,belajarlinkedin,Thursday,2025-10,0
2025-10-22,Carousel,"Udah isi profil LinkedIn sebaik mungkin, tapi belum ada recruiter yang ngeklik ‘Connect’?

Tenang, bukan berarti kamu kurang menarik. Mungkin yang perlu diperbaiki cuma dua hal sederhana: judul dan ringkasanmu.

Dua hal ini kelihatannya sepele, tapi justru di sanalah perhatian recruiter pertama kali berhenti. Kalau dua-duanya kuat, mereka bukan cuma lihat profilmu tapi pengen tahu lebih jauh tentang kamu.

Lihat di slide berikut gimana cara nulis headline dan ringkasan yang bisa bikin recruiter berhenti scroll, dan akhirnya pencet ‘Connect’.

💡Kalau kamu pengen profil LinkedIn-mu lebih standout, save dulu postingan ini dan follow biar nggak ketinggalan tips berikutnya.

#LinkedInTips #PersonalBranding #TipsKarier #JobSeeker #BelajarLinkedIn",2019,0,"['linkedintips', 'personalbranding', 'tipskarier', 'jobseeker', 'belajarlinkedin']",0,DQHUzjBkpEV,2019,29.4401,Optimasi Profil LinkedIn,6858,belajarlinkedin,Wednesday,2025-10,0
2025-10-21,Carousel,"Berani Pindah, Bukan Berarti Tak Setia

Loyalitas memang penting, namun tetap perlu diimbangi dengan kesadaran untuk menghargai diri sendiri. Bertahan di lingkungan kerja yang tidak sehat bukanlah bentuk kesetiaan, melainkan pengorbanan yang dapat menghambat pertumbuhan pribadi dan profesional.

Pindah kerja bukan tanda kelemahan, tetapi langkah berani untuk tumbuh dan menjaga masa depan karier.
Data menunjukkan, hampir setengah pekerja usia 25–34 tahun pernah berpindah pekerjaan, dan lebih dari 50% Gen Z sudah merencanakan langkah karier berikutnya.

🌱 Jadikan setiap perubahan sebagai kesempatan untuk berkembang, bukan sekadar berpindah tempat.
Karena yang penting bukan seberapa lama kamu bertahan, tapi seberapa jauh kamu tumbuh.

#Karier #SelfGrowth #BelajarLinkedIn #HRInsights",1968,0,"['karier', 'selfgrowth', 'belajarlinkedin', 'hrinsights']",0,DQEps7DkgCi,1968,28.6964,Pengembangan Karir,6858,belajarlinkedin,Tuesday,2025-10,0
